# x/m, y/m, cos, sin, vel/(m/s)
-31.7813, 10.2312, -0.998894, 0.0470111, 7.45173
-31.8561, 10.2287, -0.998981, 0.0451241, 7.4626
-31.9235, 10.2262, -0.999057, 0.043424, 7.47215
-31.9984, 10.2234, -0.999137, 0.0415326, 7.48235
-32.066, 10.2207, -0.999206, 0.0398291, 7.49121
-32.1411, 10.2176, -0.99928, 0.0379344, 7.50067
-32.2088, 10.2146, -0.999344, 0.0362278, 7.50889
-32.2841, 10.2112, -0.999411, 0.0343302, 7.51768
-32.3519, 10.2081, -0.999468, 0.032621, 7.52531
-32.4274, 10.2044, -0.999528, 0.0307206, 7.53346
-32.5029, 10.2006, -0.999585, 0.0288191, 7.54134
-32.5709, 10.197, -0.999633, 0.0271067, 7.54815
-32.6466, 10.1931, -0.999681, 0.0252579, 7.55544
-32.7147, 10.1895, -0.999722, 0.0235921, 7.56177
-32.7905, 10.1852, -0.999764, 0.0217217, 7.56853
-32.8663, 10.1809, -0.999803, 0.0198658, 7.57507
-32.9346, 10.1769, -0.999834, 0.0181986, 7.58073
-33.0941, 10.1668, -0.999898, 0.0142795, 7.59344
-33.1093, 10.1658, -0.999903, 0.0139067, 7.59461
-33.1473, 10.1634, -0.999916, 0.0129755, 7.5973
-33.2234, 10.1583, -0.999938, 0.0111078, 7.60265
-33.2919, 10.1537, -0.999956, 0.00942541, 7.60737
-33.368, 10.1484, -0.999972, 0.00755676, 7.61242
-33.4442, 10.1429, -0.999984, 0.00568521, 7.6173
-33.5128, 10.1379, -0.999992, 0.00399866, 7.62153
-33.5815, 10.1327, -0.999997, 0.00231162, 7.62561
-33.6577, 10.1269, -1, 0.000435742, 7.62998
-33.7188, 10.1221, -0.999999, -0.00106653, 7.63336
-33.7951, 10.1159, -0.999996, -0.00294527, 7.63743
-33.8791, 10.109, -0.999987, -0.00501306, 7.64177
-33.9479, 10.1032, -0.999978, -0.00670628, 7.64519
-34.0243, 10.0966, -0.999963, -0.00858877, 7.64884
-34.1161, 10.0885, -0.999941, -0.0108489, 7.65307
-34.1543, 10.0851, -0.99993, -0.011791, 7.65477
-34.2231, 10.0788, -0.999909, -0.0134875, 7.65769
-34.2996, 10.0717, -0.999882, -0.0153734, 7.66087
-34.3685, 10.0651, -0.999854, -0.0170715, 7.66364
-34.445, 10.0577, -0.99982, -0.0189592, 7.66661
-34.5216, 10.0502, -0.999783, -0.0208476, 7.66947
-34.6058, 10.0417, -0.999737, -0.0229254, 7.67251
-34.6747, 10.0347, -0.999697, -0.0246262, 7.67491
-34.7513, 10.0267, -0.999648, -0.0265168, 7.67746
-34.8202, 10.0194, -0.999602, -0.0282187, 7.67968
-34.8968, 10.0111, -0.999547, -0.0301104, 7.68205
-34.9658, 10.0035, -0.999494, -0.0318133, 7.68412
-35.0347, 9.99584, -0.999438, -0.0335167, 7.68612
-35.1113, 9.98715, -0.999373, -0.0354098, 7.68826
-35.1803, 9.97922, -0.999311, -0.0371138, 7.69012
-35.2569, 9.97025, -0.999239, -0.0390079, 7.69211
-35.3335, 9.96114, -0.999163, -0.0409022, 7.69404
-35.4025, 9.95281, -0.999092, -0.0426074, 7.69571
-35.4715, 9.94437, -0.999018, -0.0443131, 7.69733
-35.5404, 9.93581, -0.998941, -0.0460189, 7.69888
-35.6247, 9.92517, -0.998842, -0.0481039, 7.70073
-35.7014, 9.91535, -0.998749, -0.0499999, 7.70235
-35.778, 9.90537, -0.998653, -0.051896, 7.7039
-35.8469, 9.89628, -0.998562, -0.0536028, 7.70525
-35.9159, 9.88707, -0.998469, -0.0553095, 7.70655
-35.9925, 9.87669, -0.998362, -0.057206, 7.70794
-36.0691, 9.86616, -0.998252, -0.0591027, 7.70929
-36.138, 9.85656, -0.998149, -0.0608101, 7.71046
-36.207, 9.84684, -0.998044, -0.0625172, 7.71159
-36.2836, 9.8359, -0.997923, -0.0644141, 7.7128
-36.3601, 9.82481, -0.997799, -0.0663107, 7.71397
-36.429, 9.81471, -0.997684, -0.0680179, 7.71499
